"variable","class","missing_n","missing_pct"
"DRD350J","numeric",10016,64.4
"DRD350JQ","numeric",15540,99.9
"DRD350K","numeric",10017,64.4
"DRD360","numeric",3413,21.9
"DRD370A","numeric",8332,53.5
"DRD370AQ","numeric",14605,93.9
"DRD370B","numeric",8332,53.5
"DRD370BQ","numeric",12994,83.5
"DRD370C","numeric",8332,53.5
"DRD370CQ","numeric",15372,98.8
"DRD370D","numeric",8332,53.5
"DRD370DQ","numeric",14369,92.3
"DRD370E","numeric",8332,53.5
"DRD370EQ","numeric",14640,94.1
"DRD370F","numeric",8332,53.5
"DRD370FQ","numeric",15291,98.3
"DRD370G","numeric",8332,53.5
"DRD370GQ","numeric",15282,98.2
"DRD370H","numeric",8331,53.5
"DRD370HQ","numeric",15376,98.8
"DRD370I","numeric",8332,53.5
"DRD370IQ","numeric",15325,98.5
"DRD370J","numeric",8332,53.5
"DRD370JQ","numeric",15548,99.9
"DRD370K","numeric",8332,53.5
"DRD370KQ","numeric",15334,98.5
"DRD370L","numeric",8332,53.5
"DRD370LQ","numeric",15525,99.8
"DRD370M","numeric",8331,53.5
"DRD370MQ","numeric",12858,82.6
"DRD370N","numeric",8332,53.5
"DRD370NQ","numeric",15204,97.7
"DRD370O","numeric",8332,53.5
"DRD370OQ","numeric",15431,99.2
"DRD370P","numeric",8332,53.5
"DRD370PQ","numeric",15551,99.9
"DRD370Q","numeric",8332,53.5
"DRD370QQ","numeric",15487,99.5
"DRD370R","numeric",8332,53.5
"DRD370RQ","numeric",15331,98.5
"DRD370S","numeric",8332,53.5
"DRD370SQ","numeric",15487,99.5
"DRD370T","numeric",8331,53.5
"DRD370TQ","numeric",13978,89.8
"DRD370U","numeric",8332,53.5
"DRD370UQ","numeric",15164,97.5
"DRD370V","numeric",8334,53.6
"WHD010","numeric",5639,36.2
"WHD020","numeric",5555,35.7
"WHQ030","numeric",15560,100
"WHQ040","numeric",5373,34.5
"WHD050","numeric",5573,35.8
"WHQ060","numeric",13385,86
"WHQ070","numeric",6709,43.1
"WHD080A","numeric",12659,81.4
"WHD080B","numeric",13988,89.9
"WHD080C","numeric",13980,89.8
"WHD080D","numeric",12597,81
"WHD080E","numeric",14426,92.7
"WHD080F","numeric",15115,97.1
"WHD080G","numeric",15234,97.9
"WHD080H","numeric",15361,98.7
"WHD080I","numeric",15422,99.1
"WHD080J","numeric",15299,98.3
"WHD080K","numeric",15482,99.5
"WHD080M","numeric",12767,82.1
"WHD080N","numeric",15221,97.8
"WHD080O","numeric",13958,89.7
"WHD080P","numeric",15505,99.6
"WHD080Q","numeric",13007,83.6
"WHD080R","numeric",13537,87
"WHD080S","numeric",13402,86.1
"WHD080T","numeric",13251,85.2
"WHD080U","numeric",15533,99.8
"WHD080L","numeric",15481,99.5
"WHQ225","numeric",5417,34.8
"WHD110","numeric",8795,56.5
"WHD120","numeric",7698,49.5
"WHD130","numeric",10803,69.4
"WHD140","numeric",6016,38.7
"WHQ150","numeric",6039,38.8
"BMDSTATS","numeric",1260,8.1
"BMXWT","numeric",1533,9.9
"BMIWT","numeric",14972,96.2
"BMXRECUM","numeric",14097,90.6
"BMIRECUM","numeric",15517,99.7
"BMXHEAD","numeric",15250,98
"BMIHEAD","numeric",15560,100
"BMXHT","numeric",2406,15.5
"BMIHT","numeric",15389,98.9
"BMXBMI","numeric",2423,15.6
"BMDBMIC","numeric",10811,69.5
"BMXLEG","numeric",4576,29.4
"BMILEG","numeric",15072,96.9
"BMXARML","numeric",2070,13.3
"BMIARML","numeric",15073,96.9
"BMXARMC","numeric",2076,13.3
"BMIARMC","numeric",15067,96.8
"BMXWAIST","numeric",3040,19.5
"BMIWAIST","numeric",14943,96
"BMXHIP","numeric",5749,36.9
"BMIHIP","numeric",15184,97.6
"BPAOARM","character",6056,38.9
"BPAOCSZ","numeric",5187,33.3
"BPXOSY1","numeric",5373,34.5
"BPXODI1","numeric",5532,35.6
"BPXOSY2","numeric",5391,34.6
"BPXODI2","numeric",5532,35.6
"BPXOSY3","numeric",5431,34.9
"BPXODI3","numeric",5545,35.6
"BPXOPLS1","numeric",6354,40.8
"BPXOPLS2","numeric",6367,40.9
"BPXOPLS3","numeric",6463,41.5
"BPQ020","numeric",5377,34.6
"BPQ030","numeric",11978,77
"BPD035","numeric",12078,77.6
"BPQ040A","numeric",11967,76.9
"BPQ050A","numeric",12281,78.9
"BPQ080","numeric",5433,34.9
"BPQ060","numeric",9001,57.8
"BPQ070","numeric",8045,51.7
"BPQ090D","numeric",8034,51.6
"BPQ100D","numeric",12822,82.4
"LBXHSCRP","numeric",4157,26.7
"LBDHRPLC","numeric",3946,25.4
"LBXWBCSI","numeric",3762,24.2
"LBXLYPCT","numeric",3411,21.9
"LBXMOPCT","numeric",3858,24.8
"LBXNEPCT","numeric",3411,21.9
"LBXEOPCT","numeric",3450,22.2
"LBXBAPCT","numeric",3409,21.9
"LBDLYMNO","numeric",3413,21.9
"LBDMONO","numeric",3409,21.9
"LBDNENO","numeric",3471,22.3
"LBDEONO","numeric",3409,21.9
"LBDBANO","numeric",3409,21.9
"LBXRBCSI","numeric",3404,21.9
"LBXHGB","numeric",3420,22
"LBXHCT","numeric",3404,21.9
"LBXMCVSI","numeric",3430,22
"LBXMC","numeric",3404,21.9
"LBXMCHSI","numeric",3404,21.9
"LBXRDW","numeric",3404,21.9
"LBXPLTSI","numeric",3405,21.9
"LBXMPSI","numeric",3992,25.7
"LBXNRBC","numeric",3409,21.9
"INDFMMPI","numeric",3236,20.8
"INDFMMPC","numeric",1895,12.2
"ALQ111","numeric",7190,46.2
"ALQ121","numeric",9426,60.6
"ALQ130","numeric",9764,62.8
"ALQ142","numeric",10392,66.8
"ALQ270","numeric",13388,86
"ALQ280","numeric",13335,85.7
"ALQ290","numeric",14727,94.6
"ALQ151","numeric",8069,51.9
"ALQ170","numeric",9816,63.1
"HUQ010","numeric",10,0.1
"HUQ030","numeric",4,0
"HUQ051","numeric",247,1.6
"HUD062","numeric",13553,87.1
"HUQ071","numeric",4,0
"HUQ090","numeric",1730,11.1
"SMQ020","numeric",5872,37.7
"SMD030","numeric",11829,76
"SMQ040","numeric",11671,75
"SMQ050Q","numeric",13456,86.5
"SMQ050U","numeric",13498,86.7
"SMD057","numeric",13411,86.2
"SMQ078","numeric",14317,92
"SMD641","numeric",13839,88.9
"SMD650","numeric",13956,89.7
"SMD100FL","numeric",13974,89.8
"SMD100MN","numeric",13970,89.8
"SMQ670","numeric",13854,89
"SMQ621","numeric",14196,91.2
"SMD630","numeric",15501,99.6
"SMAQUEX2","numeric",4423,28.4
"OCD150","numeric",5369,34.5
"OCQ180","numeric",10222,65.7
"OCQ210","numeric",13831,88.9
"OCQ670","numeric",9977,64.1
"OCD383","numeric",11799,75.8
"LBXSATSI","numeric",6632,42.6
"LBDSATLC","numeric",6087,39.1
"LBXSAL","numeric",6083,39.1
"LBDSALSI","numeric",6083,39.1
"LBXSAPSI","numeric",6327,40.7
"LBXSASSI","numeric",6156,39.6
"LBXSC3SI","numeric",6087,39.1
"LBXSBU","numeric",6908,44.4
"LBDSBUSI","numeric",6087,39.1
"LBXSCLSI","numeric",6933,44.6
"LBXSCK","numeric",6235,40.1
"LBXSCR","numeric",6091,39.1
"LBDSCRSI","numeric",6085,39.1
"LBXSGB","numeric",6087,39.1
"LBDSGBSI","numeric",6087,39.1
"LBXSGL","numeric",6406,41.2
"LBDSGLSI","numeric",6087,39.1
"LBXSGTSI","numeric",6542,42
"LBDSGTLC","numeric",6087,39.1
"LBXSIR","numeric",6299,40.5
"LBDSIRSI","numeric",6227,40
"LBXSLDSI","numeric",6306,40.5
"LBXSOSSI","numeric",6087,39.1
"LBXSPH","numeric",6087,39.1
"LBDSPHSI","numeric",6087,39.1
"LBXSKSI","numeric",6094,39.2
"LBXSNASI","numeric",6084,39.1
"LBXSTB","numeric",6085,39.1
"LBDSTBSI","numeric",6086,39.1
