"variable","class","missing_n","missing_pct"
"DRD370S","numeric",7758,65
"DRD370SQ","numeric",11837,99.2
"DRD370T","numeric",7758,65
"DRD370TQ","numeric",10962,91.9
"DRD370U","numeric",7758,65
"DRD370UQ","numeric",11809,99
"DRD370V","numeric",7760,65
"WHD010","numeric",3476,29.1
"WHD020","numeric",3453,28.9
"WHD050","numeric",3673,30.8
"WHQ070","numeric",3451,28.9
"BMDSTATS","numeric",3073,25.8
"BMXWT","numeric",3203,26.8
"BMIWT","numeric",11588,97.1
"BMXRECUM","numeric",11480,96.2
"BMIRECUM","numeric",11915,99.8
"BMXHEAD","numeric",11863,99.4
"BMIHEAD","numeric",11933,100
"BMXHT","numeric",3437,28.8
"BMIHT","numeric",11799,98.9
"BMXBMI","numeric",3462,29
"BMDBMIC","numeric",9441,79.1
"BMXLEG","numeric",4598,38.5
"BMILEG","numeric",11537,96.7
"BMXARML","numeric",3365,28.2
"BMIARML","numeric",11733,98.3
"BMXARMC","numeric",3371,28.2
"BMIARMC","numeric",11728,98.3
"BMXWAIST","numeric",3791,31.8
"BMIWAIST","numeric",11586,97.1
"BMXHIP","numeric",5190,43.5
"BMIHIP","numeric",11572,97
"BPAOARM","character",4279,35.9
"BPAOCSZ","numeric",4322,36.2
"BPXOSY1","numeric",4528,37.9
"BPXODI1","numeric",4676,39.2
"BPXOSY2","numeric",4530,38
"BPXODI2","numeric",4674,39.2
"BPXOSY3","numeric",4573,38.3
"BPXODI3","numeric",4685,39.3
"BPXOPLS1","numeric",4646,38.9
"BPXOPLS2","numeric",4654,39
"BPXOPLS3","numeric",4706,39.4
"BPQ020","numeric",3446,28.9
"BPQ030","numeric",8991,75.3
"BPQ150","numeric",8968,75.2
"BPQ080","numeric",3489,29.2
"BPQ101D","numeric",3468,29.1
"WTPH2YR","numeric",3206,26.9
"LBXHSCRP","numeric",4769,40
"LBDHRPLC","numeric",4651,39
"WTPH2YR_CBC","numeric",3206,26.9
"LBXWBCSI","numeric",4532,38
"LBXLYPCT","numeric",4353,36.5
"LBXMOPCT","numeric",4633,38.8
"LBXNEPCT","numeric",4353,36.5
"LBXEOPCT","numeric",4372,36.6
"LBXBAPCT","numeric",4351,36.5
"LBDLYMNO","numeric",4351,36.5
"LBDMONO","numeric",4351,36.5
"LBDNENO","numeric",4393,36.8
"LBDEONO","numeric",4351,36.5
"LBDBANO","numeric",4351,36.5
"LBXRBCSI","numeric",4340,36.4
"LBXHGB","numeric",4343,36.4
"LBXHCT","numeric",4340,36.4
"LBXMCVSI","numeric",4358,36.5
"LBXMC","numeric",4340,36.4
"LBXMCHSI","numeric",4340,36.4
"LBXRDW","numeric",4340,36.4
"LBXPLTSI","numeric",4341,36.4
"LBXMPSI","numeric",4713,39.5
"LBXNRBC","numeric",4351,36.5
"INDFMMPI","numeric",2944,24.7
"INDFMMPC","numeric",1738,14.6
"INQ300","numeric",1859,15.6
"IND310","numeric",6414,53.8
"ALQ111","numeric",6457,54.1
"ALQ121","numeric",7895,66.2
"ALQ130","numeric",7914,66.3
"ALQ142","numeric",8559,71.7
"ALQ270","numeric",9926,83.2
"ALQ280","numeric",9817,82.3
"ALQ151","numeric",7038,59
"ALQ170","numeric",9601,80.5
"HUQ010","numeric",7,0.1
"HUQ030","numeric",10,0.1
"HUQ042","numeric",1237,10.4
"HUQ055","numeric",24,0.2
"HUQ090","numeric",791,6.6
"SMQ020","numeric",3812,31.9
"SMQ040","numeric",8690,72.8
"SMD641","numeric",11668,97.8
"SMD650","numeric",10806,90.6
"SMD100MN","numeric",10761,90.2
"SMQ621","numeric",11164,93.6
"SMD630","numeric",11911,99.8
"SMAQUEX2","numeric",2918,24.5
"OCD150","numeric",3450,28.9
"OCQ180","numeric",7708,64.6
"OCQ210","numeric",10494,87.9
"OCQ215","numeric",7666,64.2
"OCQ383","numeric",8518,71.4
"LBXSATSI","numeric",5936,49.7
"LBDSATLC","numeric",5612,47
"LBXSAL","numeric",5567,46.7
"LBDSALSI","numeric",5567,46.7
"LBXSAPSI","numeric",5780,48.4
"LBXSASSI","numeric",5641,47.3
"LBXSC3SI","numeric",5608,47
"LBXSBU","numeric",6111,51.2
"LBDSBUSI","numeric",5607,47
"LBXSCLSI","numeric",6085,51
"LBXSCK","numeric",5712,47.9
"LBXSCR","numeric",5607,47
"LBDSCRSI","numeric",5607,47
"LBXSGB","numeric",5569,46.7
"LBDSGBSI","numeric",5569,46.7
"LBXSGL","numeric",5803,48.6
"LBDSGLSI","numeric",5950,49.9
"LBXSGTSI","numeric",5938,49.8
"LBDSGTLC","numeric",5606,47
"LBXSIR","numeric",5728,48
"LBDSIRSI","numeric",5963,50
"LBXSLDSI","numeric",7197,60.3
"LBXMAGN","numeric",5609,47
"LBXSOSSI","numeric",5611,47
"LBXSPH","numeric",5612,47
"LBDSPHSI","numeric",5611,47
"LBXSKSI","numeric",5652,47.4
"LBXSNASI","numeric",5567,46.7
"LBXSTB","numeric",5608,47
"LBDSTBSI","numeric",5740,48.1
"LBDSTBLC","numeric",5608,47
"LBXSCA","numeric",5927,49.7
"LBDSCASI","numeric",5571,46.7
"LBXSCH","numeric",5610,47
"LBDSCHSI","numeric",5605,47
"LBXSTP","numeric",6136,51.4
"LBDSTPSI","numeric",5850,49
"LBXSTR","numeric",5697,47.7
"LBDSTRSI","numeric",5574,46.7
"LBXSUA","numeric",5681,47.6
"LBDSUASI","numeric",5604,47
"DIQ010","numeric",197,1.7
"DID040","numeric",10882,91.2
"DIQ160","numeric",11933,100
"DIQ180","numeric",11655,97.7
"DIQ050","numeric",10852,90.9
"DID060","numeric",11620,97.4
"DIQ060U","numeric",11601,97.2
"DIQ070","numeric",9659,80.9
"MCQ010","numeric",205,1.7
"MCQ035","numeric",10024,84
"MCQ040","numeric",10718,89.8
"MCQ050","numeric",10716,89.8
"AGQ030","numeric",201,1.7
"MCQ053","numeric",200,1.7
"MCQ149","numeric",11501,96.4
"MCQ160A","numeric",4143,34.7
"MCQ195","numeric",9902,83
"MCQ160B","numeric",4142,34.7
"MCQ160C","numeric",4160,34.9
"MCQ160D","numeric",4150,34.8
"MCQ160E","numeric",4139,34.7
"MCQ160F","numeric",4148,34.8
"MCQ160M","numeric",4146,34.7
"MCQ170M","numeric",10903,91.4
"MCQ160P","numeric",4140,34.7
"MCQ160L","numeric",4139,34.7
"MCQ170L","numeric",11563,96.9
"MCQ500","numeric",10356,86.8
"MCQ510A","numeric",11706,98.1
"MCQ510B","numeric",11929,100
"MCQ510C","numeric",11886,99.6
"MCQ510D","numeric",11871,99.5
"MCQ510E","numeric",11917,99.9
"MCQ510F","numeric",11854,99.3
"MCQ550","numeric",4145,34.7
"MCQ560","numeric",4133,34.6
"MCQ220","numeric",4133,34.6
"MCQ230A","numeric",10776,90.3
"MCQ230B","numeric",11774,98.7
"MCQ230C","numeric",11907,99.8
"MCQ230D","numeric",11931,100
"OSQ230","numeric",6246,52.3
"is_adult","numeric",0,0
"is_non_pregnant_adult","numeric",0,0
"current_smoker","numeric",5912,49.5
"former_smoker","numeric",5079,42.6
"never_smoker","numeric",3896,32.6
"smoking_status","factor",3896,32.6
"smoking_pack_years","numeric",8734,73.2
"alcohol_drinker","numeric",7947,66.6
"heavy_drinker","numeric",7947,66.6
"binge_drinker","numeric",7084,59.4
"sdmvpsu","integer",0,0
"sdmvstra","integer",0,0
"wtmec2yr","numeric",3073,25.8
"bmi_continuous","numeric",3463,29
"bmi_category","factor",5766,48.3
"obesity","numeric",3864,32.4
"waist_circumference","numeric",3970,33.3
"systolic_bp","numeric",4529,38
"diastolic_bp","numeric",4676,39.2
"hypertension","numeric",3864,32.4
"diabetes","numeric",3869,32.4
"high_cholesterol_dx","numeric",3918,32.8
"any_cvd","numeric",3864,32.4
"coronary_heart_disease","numeric",4243,35.6
"heart_failure","numeric",4223,35.4
"stroke","numeric",4232,35.5
"heart_attack","numeric",4226,35.4
"pulse_rate","numeric",4646,38.9
"hdl_cholesterol","logical",11933,100
"low_hdl","logical",11933,100
"crp","numeric",4769,40
"high_crp","numeric",6275,52.6
"crp_category","factor",6275,52.6
"A_layer_score","numeric",3864,32.4
"age","numeric",511,4.3
"gender","factor",0,0
"race_ethnicity","factor",948,7.9
"education_level","factor",4234,35.5
"education_college","numeric",4234,35.5
"marital_status","factor",4234,35.5
"married","numeric",4234,35.5
"employment_status","factor",3882,32.5
"employed","numeric",3882,32.5
"poverty_ratio","numeric",2041,17.1
"below_poverty","numeric",0,0
"wtint2yr","numeric",0,0
"self_rated_health","factor",3867,32.4
"poor_self_rated_health","numeric",3867,32.4
"phq9_total","numeric",3864,32.4
"depression","numeric",3864,32.4
"diet_special","numeric",7005,58.7
"diet_weight_loss","numeric",11518,96.5
"diet_rigidity_score","numeric",7005,58.7
"sugar_intake_g","numeric",7002,58.7
"total_calories","numeric",7004,58.7
"wtdrd1","numeric",5179,43.4
"wtdr2d","numeric",6054,50.7
"sleep_adequate","numeric",0,0
"pa_total_min_week","numeric",5783,48.5
"pa_meets_guideline","numeric",0,0
"target_population","numeric",511,4.3
"in_analysis","numeric",0,0
"diabetes_doctor","numeric",481,4
"hypertension_doctor","numeric",11933,100
"high_cholesterol_doctor","numeric",3489,29.2
"hs_crp_mgl","numeric",4769,40
"high_hs_crp","numeric",4769,40
"white_blood_cells_x10e9_l","numeric",4532,38
"nlr_ratio","numeric",4355,36.5
"high_nlr","numeric",4355,36.5
"egfr_ckdepi_2021","numeric",5667,47.5
"ckd_flag","numeric",0,0
"alt_ui_l","numeric",5567,46.7
"elevated_alt_traditional","numeric",5567,46.7
"adult_indicator","numeric",511,4.3
"is_pregnant_excluded","numeric",0,0
"has_valid_mec","numeric",0,0
"has_biomarker_data","numeric",0,0
"ast_ui_l","numeric",5641,47.3
"ast_alt_ratio","numeric",5641,47.3
"elevated_alt_aga2022","numeric",5567,46.7
"elevated_ast","numeric",5641,47.3
"liver_injury","numeric",5641,47.3
"uric_acid_mgdl","numeric",5681,47.6
"hyperuricemia","numeric",5681,47.6
"hdl_cholesterol_mgdl","numeric",11933,100
"dyslipidemia","numeric",11933,100
"leukocytosis","numeric",4532,38
"neutrophil_percent","numeric",4353,36.5
"lymphocyte_percent","numeric",4353,36.5
"serum_creatinine_mgdl","numeric",5607,47
"ckd_stage_kdigo","character",5667,47.5
"hcf_a_score","integer",11933,100
"hcf_a_layer","logical",11933,100
"alpha1_raw","numeric",3905,32.7
"alpha2_raw","numeric",3905,32.7
"alpha3_raw","numeric",3905,32.7
"alpha4_raw","numeric",3905,32.7
"alpha1","numeric",3905,32.7
"alpha2","numeric",3905,32.7
"alpha3","numeric",3905,32.7
"alpha4","numeric",3905,32.7
"awareness_sleep","numeric",6098,51.1
"awareness_health","numeric",3908,32.7
"awareness_diet","numeric",7040,59
"awareness_symptom","numeric",3919,32.8
"acceptance_self","numeric",3908,32.7
"acceptance_relationship","numeric",4275,35.8
"acceptance_adversity","numeric",3919,32.8
"conflict1","numeric",3905,32.7
"conflict2","numeric",3905,32.7
"conflict3","numeric",3905,32.7
"conflict4","numeric",3905,32.7
"conflict5","numeric",3905,32.7
"conflict6","numeric",3905,32.7
"goal_edu","numeric",3905,32.7
"goal_economic","numeric",3905,32.7
"goal_health","numeric",3905,32.7
"depression_screen_positive","numeric",6479,54.3
